,교과목명,분류
0,아랍어1,외국어
1,아랍어1,외국어
2,스페인어1,외국어
3,스페인어1,외국어
4,발표와토론,철학
5,발표와토론,철학
6,독일어1,외국어
7,독일어1,외국어
8,독일어1,외국어
9,독일어1,외국어
10,프랑스어1,외국어
11,프랑스어1,외국어
12,프랑스어1,외국어
13,프랑스어1,외국어
14,프랑스어1,외국어
15,일본어1,외국어
16,일본어1,외국어
17,중국어1,외국어
18,중국어1,외국어
19,러시아어1,외국어
20,러시아어1,외국어
21,소셜커뮤니케이션,사회
22,ENGLISH PRESENTATION,외국어 영어
23,과학기술명저읽기,과학
24,과학기술과인간의대화,과학 사회
25,과학기술과인간의대화,과학 사회
26,디지털기술과미래,과학 공학
27,디지털기술과미래,과학 공학
28,디지털기술과미래,과학 공학
29,융합기술의세계,과학 공학
30,융합기술의세계,과학 공학
31,커뮤니케이션의이해,사회
32,사회봉사(1),사회
33,사회봉사(1),사회
34,사회봉사(1),사회
35,사회봉사(1),사회
36,사회봉사(1),사회
37,사회봉사(1),사회
38,사회봉사(1),사회
39,사회봉사(1),사회
40,사회봉사(1),사회
41,열린사회와다문화,사회
42,열린사회와다문화,사회
43,포르투갈어1,외국어
44,포르투갈어1,외국어
45,논리로보는세상,문학 사회
46,논리로보는세상,문학 사회
47,노자리더십의현대적해석,사회 철학
48,비판적사고력연습,사회
49,비판적사고력연습,사회
50,비판적사고력연습,사회
51,현대사회와여성,사회
52,현대사회와여성,사회
53,국제정세의이해,사회
54,국제정세의이해,사회
55,국제정세의이해,사회
56,기업가정신,사회
57,기업가정신,사회
58,초급영어글쓰기,외국어 영어
59,창의적사고와문제해결,문학
60,현대사회와빅데이터,사회
61,현대사회와빅데이터,사회
62,현대사회와빅데이터,사회
63,혁신과창업,자기계발
64,자기표현과의사소통,사회 문학
65,자기표현과의사소통,사회 문학
66,자기표현과의사소통,사회 문학
67,자기표현과의사소통,사회 문학
68,인문으로수학읽기,문학 수학
69,지구촌빈곤과ODA,자연 사회
70,알기쉬운통계원리,수학
71,스타트업소셜벤처,자기계발
72,계량적사고와의사결정,사회 문학
73,경제현상과소통전략,사회
74,삼국지문화사로관점을바꾼다,역사
75,영화와자아탐색,영상 자기계발
76,사회관계망의이해와탐구,사회
77,예술로서의사진과현대미술의이해,미술 예술
78,국제질서의변화와한국의대응,사회
79,문제해결을위한파이썬,공학
80,문제해결을위한파이썬,공학
81,모바일생활코딩,공학
82,모바일생활코딩,공학
83,대중영어말하기,영어 외국어
84,디자인씽킹과비즈라이팅,미술
85,르네상스시대의서양인문학,역사 문학
86,취업을위한글쓰기와말하기,문학
87,취업을위한글쓰기와말하기,문학
88,기초영어통번역연습,영어 외국어
89,컴퓨터와정보활용,공학
90,컴퓨터와정보활용,공학
91,인간관계와리더십,사회
92,인간관계와리더십,사회
93,인간관계와리더십,사회
94,인간관계와리더십,사회
95,대중문화로읽는한국사회,역사
96,미학의이해,미술
97,미학의이해,미술
98,인간과우주,과학 철학
99,인간과우주,과학 철학
100,녹색성장과환경,자연
101,현대사회와사회복지,사회
102,현대정치의이해,사회
103,프랑스어2,외국어
104,토익스피킹,외국어 영어
105,토익스피킹,외국어 영어
106,일본어2,외국어
107,중국어2,외국어
108,전쟁사,역사
109,무용과문화,체육
110,무용과문화,체육
111,무용과문화,체육
112,기후변화와에너지,과학  
113,기후변화와에너지,과학
114,SPORTS CLIMBING,체육
115,GOLF,체육
116,GOLF,체육
117,TENNIS,체육
118,TENNIS,체육
119,BADMINTON,체육
120,BADMINTON,체육
121,BADMINTON,체육
122,물의위기와환경,자연
123,물의위기와환경,자연
124,문학과치유,문학
125,사회과학고전읽기,문학
126,사회과학고전읽기,문학
127,이슬람세계의이해,역사
128,이슬람세계의이해,역사
129,한국사회의사회과학적이해,사회 과학
130,근현대문학거장과의만남,문학 역사
131,근현대문학거장과의만남,문학 역사
132,시사영어,외국어 영어
133,영화속바이러스의이해,과학 영상
134,법과경제생활,법 사회
135,힐링댄스,체육
136,힐링댄스,체육
137,지식이란무엇인가,철학
138,경영경제수학,경제 수학
139,결혼과가족,사회
140,사회봉사(2),사회
141,사회봉사(3),사회
142,사회봉사(4),사회
143,현대사회와인성,사회 철학
144,현대사회와인성,사회 철학
145,예술과친구하기,사회
146,현대러시아의이해,역사
147,대중매체속바이오테크놀로지,영상 과학
148,논어의오해와진실,역사 철학
149,아시아문학의입문과이해,역사 문학
150,한국문화의뉴웨이브,사회
151,한중일비교정치학,역사 사회
152,영화로만나는중국어,영상 외국어
153,영화로만나는중국어,영상 외국어
154,영화로만나는중국어,영상 외국어
155,연극의이해,예술
156,독일어권사회와문화,사회 문화
157,지식재산권의이해,사회
158,지식재산권의이해,사회
159,신비로운해양생물이야기,과학
160,카지노와경영,사회
161,동양의지혜와윤리,역사 철학
162,동양의지혜와윤리,역사 철학
163,서양의지혜와윤리,역사 철학
164,서양의지혜와윤리,역사 철학
165,인성교육으로읽는소학,철학
166,(이공계를위한)중국과학기술의10가지기적,과학
167,미래사회이해와미래예측,사회
168,미래사회이해와미래예측,사회
169,인천의역사지형탐색,역사
170,인천의역사지형탐색,역사
171,공간과사회,사회 경제
172,문화예술로배우는생명의기원,예술 과학
173,지구환경과공공문제,과학 사회
174,배움특강,자기계발
175,(이공계를위한)수학,수학
176,근현대세계와한국사,역사
177,근현대세계와한국사,역사
178,근현대세계와한국사,역사
179,역사의창으로현대사회읽기,역사 사회
180,역사의창으로현대사회읽기,역사 사회
181,운동과건강한삶,체육
182,창조적창업,경제
183,삶과천문학,철학 과학
184,이순신장군의리더십에대한현대적조명,역사 사회
185,사례로보는광고의원리,영상
186,연극예술과문화생활,예술 문화
187,무대미술의이해,예술
188,토익리스닝,외국어 영어
189,일상으로서의음악예술,음악 예술
190,일상으로서의음악예술,음악 예술
191,한국미술을통해본미에대한이해와감성읽기,음악 예술
192,한국어발표와토론1,철학
193,한국어발표와토론2,철학
194,한국어글쓰기1,문학 자기계발
195,한국어글쓰기2,문학 자기계발
196,한국어문화읽기1,사회
197,한국어문화읽기2,사회
198,성찰과희망의인문학,철학
199,성찰과희망의인문학,철학
200,미래를준비하는사회학,사회
201,한국사회의발전과변동이해,역사
202,현대사회와디자인문화산책,사회
203,Language and Culture,영어
204,Principles of Sociology,사회
205,필독교양도서읽기1,문학
206,필독교양도서읽기2,문학
207,필독교양도서읽기3,문학
208,공학자정약용의이해,공학
209,공학자정약용의이해,공학
210,성공적인대학생활을위한학습전략,자기계발
211,문제해결과정을통한제안서쓰기,자기계발
212,공용어를활용한설명화법,자기계발
213,글로벌사회와여행,사회
214,정치와문화의흐름으로본우리역사,역사
215,영상으로만나는중국,문학
216,영상으로만나는중국,문학
217,역사로만나는중국의문화코드,문학
218,역사로만나는중국의문화코드,문학
219,역사로만나는중국의문화코드,문학
220,미디어현장의이해,사회
221,StepbyStep피아노,음악
222,StepbyStep피아노,음악
223,StepbyStep피아노,음악
224,StepbyStep피아노,음악
225,피아노능숙하게다루기,음악
226,피아노능숙하게다루기,음악
227,처음하는기타연주,음악
228,처음하는기타연주,음악
229,처음하는기타연주,음악
230,처음하는기타연주,음악
231,기타연주엘리트입문,음악
232,기타연주엘리트입문,음악
233,글로벌소양과문화콘텐츠,문학
234,융복합시대의스피치커뮤니케이션,자기계발
235,영화예술과문화생활,영상
236,사회인류학의세계,사회
237,4차산업혁명의미래기술,공학
238,4차산업혁명의미래기술,공학
239,문화콘텐츠스토리텔링분석,문학
240,미래교육토크콘서트,자기계발
241,시민되기와정의의문제세미나,자기계발
242,시민되기와정의의문제세미나,자기계발
243,왜우리는대학에왔는가세미나,자기계발
244,왜우리는대학에왔는가세미나,자기계발
245,근대적지식인은어떻게탄생하였나세미나,철학
246,근대적지식인은어떻게탄생하였나세미나,철학
247,동아시아의역사와문화,역사
248,동아시아의역사와문화,역사
249,경이로운생명이야기,과학
250,경이로운생명이야기,과학
251,우리가살고있는신비한지구,자연
252,우리가살고있는신비한지구,자연
253,디지털세상의사이버윤리,철학
254,디지털세상의사이버윤리,철학
255,생활속의경제원리,사회
256,생활속의경제원리,사회
257,생활속의경제원리,사회
258,종교와문화,철학
259,종교와문화,철학
260,스토리텔링뮤직,음악
261,인간의행동과의식,철학
262,임상여성학,의학
263,생활속의안전,사회
264,힌두교와인도문화,역사
265,문학과테마기행,문학
266,운동처방실제,체육 의학
267,인문학과자기경영의만남,철학
268,컴퓨터보안과활용,공학
269,마음을읽어주는미술치료,의학
270,모두의인공지능,공학
271,4차산업혁명기술과자동차이야기,공학
272,예제로배우는C언어,공학
273,생활법률,법
274,심리학의이해,사회
275,심리학의이해,사회
276,교양한문,외국어
277,현대물리학의이해,과학
278,행정학의이해,사회
279,자본주의의이해,철학 사회
280,자본주의의이해,철학 사회
281,한국미술과문화,미술
282,현대사회와스포츠,체육 사회
283,현대사회와스포츠,체육 사회
284,프랑스문화와예술,예술 문학 
285,현대중국의이해,문학
286,현대중국의이해,문학
287,야구,체육
288,문학의이해,문학
289,한국사의이해,역사
290,한국사의이해,역사
291,한국사의이해,역사
292,한국사의이해,역사
293,웹과인터넷,공학
294,영화속법,법
295,요가,체육
296,요가,체육
297,서양의역사와문화,문학 역사
298,서양의역사와문화,문학 역사
299,경영의이해,사회
300,비즈니스소프트웨어,공학
301,한국사회와노동문제,사회 철학
302,한국사회와노동문제,사회 철학
303,일본문화의이해,문학 사회
304,물류의이해,경제
305,생활과화학,과학
306,생활과화학,과학
307,INU 리더십특강,자기계발
308,평생교육실습,자기계발
309,성공창업전략,자기계발
310,창업사례분석,자기계발
311,공직사회의이해,자기계발
312,공직사회의이해,자기계발
313,NCS의 이해,자기계발
314,NCS의 이해,자기계발
315,생활속의창업특허,자기계발 경제
316,스타트업비즈니스매너,자기계발 경제
317,스타트업앱개발스킬,자기계발 경제
318,창업실습2,자기계발 경제
319,창업현장실습2,자기계발 경제
320,스타트업물류사례및트랜드,자기계발 경제
321,창업마케팅실습,자기계발 경제
322,평생교육경영론,교육 경제
323,평생교육프로그램개발론,교육 공학
324,청소년교육개론,교육
